Model,Feature,Accuracy,F1-score
Extreme Gradient Boosting,Count Vector-(i),0.8116,0.811670096
Extreme Gradient Boosting,WordLevel TF-IDF-(ii),0.8036,0.809270989
Extreme Gradient Boosting,N-Gram Vectors TF-IDF-(iii),0.7388,0.743905315
Extreme Gradient Boosting,CharLevel Vectors TF-IDF-(iv),0.8088,0.813588546
Extreme Gradient Boosting,(i)+(ii),0.8068,0.806859265
Extreme Gradient Boosting,(i)+(iii),0.8184,0.81851254
Extreme Gradient Boosting,(i)+(iv),0.8256,0.825615068
Extreme Gradient Boosting,(ii)+(iii),0.8124,0.812469798
Extreme Gradient Boosting,(ii)+(iv),0.824,0.824040892
Extreme Gradient Boosting,(iii)+(iv),0.824,0.823989186
Extreme Gradient Boosting,(i)+(ii)+(iii),0.8132,0.813251562
Extreme Gradient Boosting,(i)+(ii)+(iv),0.818,0.818021579
Extreme Gradient Boosting,(i)+(iii)+(iv),0.826,0.826033326
Extreme Gradient Boosting,(ii)+(iii)+(iv),0.826,0.826033326
Extreme Gradient Boosting,(i)+(ii)+(iii)+(iv),0.8212,0.821234246
Shallow Neural Network,Count Vector-(i),0.8624,0.870812507
Shallow Neural Network,WordLevel TF-IDF-(ii),0.8632,0.867657247
Shallow Neural Network,N-Gram Vectors TF-IDF-(iii),0.8308,0.838903428
Shallow Neural Network,CharLevel Vectors TF-IDF-(iv),0.8176,0.840046597
Shallow Neural Network,(i)+(ii),0.8712,0.871245756
Shallow Neural Network,(i)+(iii),0.8748,0.874804908
Shallow Neural Network,(i)+(iv),0.874,0.874109824
Shallow Neural Network,(ii)+(iii),0.8892,0.889202501
Shallow Neural Network,(ii)+(iv),0.878,0.877990727
Shallow Neural Network,(iii)+(iv),0.8764,0.876437941
Shallow Neural Network,(i)+(ii)+(iii),0.8772,0.87720277
Shallow Neural Network,(i)+(ii)+(iv),0.8688,0.868945368
Shallow Neural Network,(i)+(iii)+(iv),0.8776,0.877749452
Shallow Neural Network,(ii)+(iii)+(iv),0.8828,0.882796343
Shallow Neural Network,(i)+(ii)+(iii)+(iv),0.878,0.878198135
CNN (Transfer Learning),FastText,0.8228,0.822833959
CNN (Transfer Learning),Glove,0.8092,0.809254536
CNN (Transfer Learning),Word2Vec,0.836,0.836265454
RNN_LSTM (Transfer Learning),FastText,0.7976,0.79760622
RNN_LSTM (Transfer Learning),Glove,0.7884,0.78844865
RNN_LSTM (Transfer Learning),Word2Vec,0.7716,0.771645653
RNN_GRU (Transfer Learning),FastText,0.7652,0.772466086
RNN_GRU (Transfer Learning),Glove,0.7916,0.791645328
RNN_GRU (Transfer Learning),Word2Vec,0.7804,0.78047527
Bidirectional_RNN (Transfer Learning),FastText,0.792,0.79248
Bidirectional_RNN (Transfer Learning),Glove,0.796,0.796745
Bidirectional_RNN (Transfer Learning),Word2Vec,0.7848,0.7848528
RCNN (Transfer Learning),FastText,0.8276,0.827658445
RCNN (Transfer Learning),Glove,0.8004,0.8004758
RCNN (Transfer Learning),Word2Vec,0.8284,0.8284857
